,Beta
MMM,0.7478818103477793
AOS,0.8008986636909501
ABT,0.8207259574744366
ABBV,0.5930045698914856
ACN,1.100301173139495
ADBE,1.2255633111663682
AMD,1.4750925501138568
AES,1.1291787697688216
AFL,1.0321277641805353
A,0.9613661811390878
APD,0.9439828432986389
ABNB,
AKAM,0.6645214651717356
ALB,1.270024927542913
ARE,0.9443227399241017
ALGN,1.5063874608231487
ALLE,1.034203765723782
LNT,0.6811768748067978
ALL,0.8545829878207166
GOOGL,1.1034208837144217
GOOG,1.0940448296889766
MO,0.5999353627538031
AMZN,1.004243384768357
AMCR,0.9160425508287098
AEE,0.734071895104881
AAL,1.376602180128233
AEP,0.6265468297646186
AXP,1.3401752581985247
AIG,1.3090610415028412
AMT,0.9094423602352939
AWK,0.7933411865721633
AMP,1.5839811822672627
AME,1.0619441474603237
AMGN,0.6464021227558174
APH,1.0699094914368963
ADI,1.2419893748436082
ANSS,1.2692130431816249
AON,0.7988931244044846
APA,1.6322581414812534
AAPL,1.197848690330762
AMAT,1.5903486789940235
APTV,1.4814802082855791
ACGL,1.0717891447956036
ADM,0.8221722889638906
ANET,1.143733387705233
AJG,0.8887106041429232
AIZ,0.8541546350063546
T,0.6880433711639717
ATO,0.7044303597374072
ADSK,1.3180061223456758
ADP,1.0376345672163572
AZO,0.7689476761136419
AVB,0.9215677928348922
AVY,1.0291989295357444
AXON,1.1774173556556464
BKR,1.196032007819913
BALL,0.8195361376906171
BAC,1.225858508552698
BK,1.0317391966633465
BBWI,1.470221127423414
BAX,0.6605142280527393
BDX,0.5234740277556519
BRK.B,
BBY,1.145590409109379
BIO,0.8330375283525979
TECH,0.903472846246952
BIIB,0.839742265244842
BLK,1.221791192945954
BX,1.4354149601256143
BA,1.542121141532229
BKNG,1.1541920411975328
BWA,1.01688395939423
BXP,1.049977623395386
BSX,0.9318646042934406
BMY,0.4920685784381102
AVGO,1.2801306372955636
BR,0.8592234181659768
BRO,0.925211677505997
BF.B,
BLDR,1.6032840680418876
BG,0.8163736981141059
CDNS,1.2140970834575837
CZR,2.1565509372745466
CPT,0.8784021361946354
CPB,0.3085349542983653
COF,1.4706839222678239
CAH,0.7785482732368507
KMX,1.2089208442312038
CCL,1.9300308591521778
CARR,
CTLT,1.1438313954511306
CAT,0.9187218602154581
CBOE,0.6858890243781688
CBRE,1.2475431932138084
CDW,1.1782751521461063
CE,1.1991324780026462
COR,0.7579592556352295
CNC,0.8963816574935329
CNP,0.999668430580596
CF,0.998648731592881
CHRW,0.5993139693248183
CRL,1.13224631413676
SCHW,1.0691078292660046
CHTR,0.7692988476982974
CVX,1.074193440980995
CMG,0.990161720505099
CB,0.8952892178245507
CHD,0.45022223798517813
CI,0.9691886896224033
CINF,1.0755731197494232
CTAS,1.1340651939965618
CSCO,0.9319465924331157
C,1.3260654032944275
CFG,1.4015668576638793
CLX,0.2888879925243246
CME,0.8347946341456136
CMS,0.6398134705983022
KO,0.6872317550919104
CTSH,1.1137586785092584
CL,0.5552248193469774
CMCSA,0.8569171338033146
CMA,1.3156500696394418
CAG,0.3653553881240135
COP,1.1983381330314895
ED,0.5639809541901071
STZ,0.8064181547969126
CEG,
COO,0.9207955287342514
CPRT,1.0619558842799373
GLW,1.187808725745067
CPAY,1.1372324033443304
CTVA,0.9143244551267334
CSGP,1.0183731092996067
COST,0.7091800696742456
CTRA,0.7251315440130969
CCI,0.8493063284938007
CSX,1.0448681875397259
CMI,0.8800842902135868
CVS,0.7143823143516256
DHR,0.8404256543135554
DRI,1.3681105220098908
DVA,0.6889765697374924
DAY,1.3968965219203053
DECK,1.2027976631521264
DE,0.9726699863443391
DAL,1.304596963310436
DVN,1.4570957978804822
DXCM,1.0617844063992004
FANG,1.3042331603091175
DLR,0.816881341095362
DFS,1.6137818638079444
DG,0.5544453563469026
DLTR,0.7504892320065297
D,0.7302688645236889
DPZ,0.5258476652945007
DOV,1.0762705051783736
DOW,1.1414769173913313
DHI,1.2034747560878345
DTE,0.8544638829780178
DUK,0.7106871735245968
DD,1.120562749268567
EMN,1.119608686625879
ETN,1.1182094369899331
EBAY,0.8108280870029796
ECL,1.1074150996508598
EIX,0.8402791172556061
EW,0.9556141702546272
EA,0.5809108524609851
ELV,0.9635757981251967
LLY,0.6588779326574107
EMR,1.0787966346204467
ENPH,1.5973643199422256
ETR,0.8402539659290044
EOG,1.097998814180958
EPAM,1.3844909964189964
EQT,0.8419436772227398
EFX,0.9760608783884474
EQIX,0.8800996435714282
EQR,0.9103760519827206
ESS,0.9179186664866946
EL,1.0825581554524113
ETSY,1.3766542797176191
EG,0.9103361420482818
EVRG,0.8385595018102558
ES,0.7370727833366646
EXC,0.9629429062345902
EXPE,1.3397204688719333
EXPD,0.7679928047006134
EXR,0.735317075531966
XOM,0.9112986710532851
FFIV,0.9043423027257758
FDS,0.9333878546835221
FICO,1.3467810941130898
FAST,0.9030947399862218
FRT,1.0693440782157928
FDX,1.0472879155073904
FIS,1.0915238890718846
FITB,1.43140848847054
FSLR,0.9066558577038755
FE,0.8152162081161569
FI,1.0713255903463352
FMC,1.0207076116574658
F,1.2158920543956215
FTNT,1.2343172435154888
FTV,1.0085307496900289
FOXA,0.834871691269982
FOX,0.8570772771304077
BEN,1.1781397619789737
FCX,1.5415913577583589
GRMN,0.9381621003850922
IT,1.0537196826063853
GE,1.1461780918349356
GEHC,
GEV,
GEN,0.5329029069720747
GNRC,1.3815867655006817
GD,0.7979516153876816
GIS,0.35735395323821123
GM,1.286036562409998
GPC,0.9853166192352841
GILD,0.47579736206083817
GPN,1.2984546498390275
GL,1.0883632195183097
GS,1.151138799741078
HAL,1.5012353224705146
HIG,1.0230784621511335
HAS,0.9700890904216763
HCA,1.0884053679598933
DOC,1.0544460608844886
HSIC,0.7895118056301059
HSY,0.6100027155024265
HES,1.2361382957225244
HPE,1.0778972593233576
HLT,0.9877420070291524
HOLX,0.7986576918703007
HD,1.019472777975977
HON,0.9715962019272426
HRL,0.34417300577048693
HST,1.1712054764550381
HWM,1.3590879516375507
HPQ,1.1713290433604004
HUBB,1.0238583579438283
HUM,0.8558399544161451
HBAN,1.1635467307843963
HII,0.712488408503464
IBM,0.8104136785292133
IEX,0.8637184507646981
IDXX,0.992860903506174
ITW,0.9570398956431526
ILMN,1.0612037048988676
INCY,0.6426546834501021
IR,1.0826083702128078
PODD,0.952592658440363
INTC,1.1868398562707685
ICE,0.8435448843261061
IFF,0.920501764571301
IP,1.0020011049355113
IPG,1.1928852596998023
INTU,1.3613564850892232
ISRG,1.2283765472143702
IVZ,1.5693458623225827
INVH,0.972190219414299
IQV,1.1808544923676343
IRM,0.8934309693331585
JBHT,0.8843069603930683
JBL,1.329940070171824
JKHY,0.7077947933597584
J,0.9345055877468276
JNJ,0.5402931710441683
JCI,0.9540575130244779
JPM,1.122493262257745
JNPR,0.8412637965576865
K,0.348363999852194
KVUE,
KDP,0.5542548990955899
KEY,1.4188016459408175
KEYS,1.0271722131205052
KMB,0.4620657898208611
KIM,1.1843305056251543
KMI,0.9331841645444376
KLAC,1.5479899775958932
KHC,0.6931341775039933
KR,0.25988021675308015
LHX,0.7235446601896135
LH,0.9432517111635651
LRCX,1.6342886813372068
LW,0.9419901461104206
LVS,1.136478258480159
LDOS,0.7877175480055499
LEN,1.2774039503329147
LIN,0.9632720562515024
LYV,1.249463740738248
LKQ,1.2375452658391541
LMT,0.6558528904434061
L,1.1244627944324832
LOW,1.093913617844447
LULU,1.1711994667272583
LYB,1.2489983738982176
MTB,1.1126025723775184
MRO,1.2812118600904634
MPC,1.3151951047735477
MKTX,0.8366307348494916
MAR,1.101125333890084
MMC,0.8446464397719013
MLM,1.07371258739338
MAS,0.9827017422206613
MA,1.2004131851350583
MTCH,1.215888524566178
MKC,0.6181285637478644
MCD,0.7761661682647674
MCK,0.7822579889729342
MDT,0.8575441024213365
MRK,0.5323001140592748
META,1.2475240780515322
MET,1.2187517779182075
MTD,0.9885107168085867
MGM,1.6680597185056973
MCHP,1.5419226598784668
MU,1.387413234052407
MSFT,1.1743530931936614
MAA,0.8921618769660729
MRNA,0.508793101841844
MHK,1.2654081586251893
MOH,0.8487620658261515
TAP,0.739049060886296
MDLZ,0.7151294303013551
MPWR,1.6551557531686438
MNST,0.8658693504930669
MCO,1.1971533243243135
MS,1.2892525428122326
MOS,1.19681811699908
MSI,0.9531013695206572
MSCI,1.2265691774724057
NDAQ,0.9611590463659977
NTAP,1.0420964251123939
NFLX,0.9886720797702903
NEM,0.42209415036841946
NWSA,1.013483274179934
NWS,1.0242063234088845
NEE,0.8580656964277397
NKE,1.0627638015228835
NI,0.7880819706869404
NDSN,1.1046702122961083
NSC,1.0427742285473292
NTRS,1.1375245334877186
NOC,0.6194007283672681
NCLH,1.9760355120132531
NRG,0.9540389728836857
NUE,1.140551505187508
NVDA,1.6584072735230562
NVR,1.117818964817919
NXPI,1.445636783105437
ORLY,0.8097461475917642
OXY,1.4806083923253417
ODFL,0.9961534785077985
OMC,0.9319536434704189
ON,1.721019108848899
OKE,1.3752652433934711
ORCL,0.9039746087383076
OTIS,
PCAR,0.8144409501298615
PKG,0.8270815024977254
PANW,0.9957555626335367
PARA,1.1582594365712398
PH,1.306460122889767
PAYX,1.1082934706284824
PAYC,1.527240493415498
PYPL,1.3356917287630952
PNR,1.095268246414875
PEP,0.7345851733318955
PFE,0.5753088457690089
PCG,1.0714939149950464
PM,0.7159484654347554
PSX,1.1173342392903347
PNW,0.7700785946731965
PNC,1.1957676341065022
POOL,0.9841483616774095
PPG,0.9827948275590578
PPL,0.8439928347619703
PFG,1.3148129774995767
PG,0.6087410248678476
PGR,0.6608223841281222
PLD,1.0480817762465457
PRU,1.3437166961603944
PEG,0.7417816379690937
PTC,1.0629382491574804
PSA,0.6723253695497757
PHM,1.3096319809858012
QRVO,1.407532000272133
PWR,1.0470589593633768
QCOM,1.3064313172341602
DGX,0.6408335320930542
RL,1.1627749143590456
RJF,1.229458959850923
RTX,1.0348929517531658
O,0.9543627718218237
REG,1.1016867615584915
REGN,0.5770100845572324
RF,1.3243354691480473
RSG,0.7439316407727797
RMD,0.9334851102964342
RVTY,0.8571391275175566
RHI,0.9879216429316205
ROK,1.0902204553766401
ROL,0.6878550913723004
ROP,0.8960748315816475
ROST,1.1502507283878898
RCL,1.758171797469453
SPGI,1.055541907727993
CRM,1.1988182407105508
SBAC,0.8258758227882323
SLB,1.2229233263344035
STX,1.0358127560960348
SRE,0.8375262289935215
NOW,1.2713618513403555
SHW,0.9109720791583793
SPG,1.3501896497491823
SWKS,1.4154299190624904
SJM,0.3353810456835374
SNA,0.9590700406580397
SOLV,
SO,0.7808376594010894
LUV,1.0633724491746275
SWK,1.3243236577230404
SBUX,1.0970325816100817
STT,1.2977613201443028
STLD,1.221878169424672
STE,0.8748293754561239
SYK,1.0852926372794771
SMCI,1.2213656075979171
SYF,1.5206492920067336
SNPS,1.170557145006963
SYY,1.1477229566453842
TMUS,0.8017709040848228
TROW,1.2802499062322683
TTWO,0.7083444938093231
TPR,1.5393637053080238
TRGP,1.4572425521982473
TGT,0.8364966324311479
TEL,1.1543143282953827
TDY,1.020301872848328
TFX,0.9426786754993258
TER,1.4343002144889712
TSLA,1.4554813509976083
TXN,1.1211966519300753
TXT,1.329927956318487
TMO,0.8036316916668094
TJX,1.0326809862832629
TSCO,0.745151197422278
TT,0.9551711545474686
TDG,1.2559920989379227
TRV,0.851971005018867
TRMB,1.222595945347197
TFC,1.2812768550673321
TYL,0.8989332381733962
TSN,0.6704541919010505
USB,1.10965622034132
UBER,1.2836390800671547
UDR,0.9279333688181169
ULTA,1.1995477043375946
UNP,0.9050027319178662
UAL,1.5140541511979861
UPS,0.8202348773995327
URI,1.4215394213337587
UNH,0.9250578441881753
UHS,1.182892049162891
VLO,1.202782371063086
VTR,1.2361507053681513
VLTO,
VRSN,0.9853987120603442
VRSK,0.8953163503757527
VZ,0.4555286571910349
VRTX,0.7374180751664199
VTRS,0.7612871390845916
VICI,1.1236254960081622
V,1.0736332289408193
VST,0.8948146883335574
VMC,0.9279756842518168
WRB,0.9316595471143756
GWW,0.9151749070366838
WAB,1.083026583701572
WBA,0.785199777644322
WMT,0.488112851803056
DIS,1.069446494812055
WBD,0.9749966492859824
WM,0.687378626868063
WAT,0.8973602842110286
WEC,0.628734441124372
WFC,1.2280179705376222
WELL,1.117751016641298
WST,0.8519120608861319
WDC,1.4236432412580255
WRK,1.2202050882576327
WY,1.4331069549563993
WMB,0.9569718791248437
WTW,0.8522255929926263
WYNN,1.4522697154945534
XEL,0.6978537665838078
XYL,1.0876191373533406
YUM,0.8233456325350961
ZBRA,1.269896910582881
ZBH,0.9164941125439351
ZTS,0.9319324904926273
